Count,ID,Name,Description,Clone URL
1,276946661,akka-react-no-monocle,"Proof of concept, react and akka to manage single page application",https://github.com/wilsonify/akka-react-no-monocle.git
2,698532337,Amazon-Fargate-Quick-Start-Guide,Amazon Fargate Quick Start Guide,https://github.com/wilsonify/Amazon-Fargate-Quick-Start-Guide.git
3,695863121,amazon-sagemaker-mlflow-fargate,Managing your machine learning lifecycle with MLflow and Amazon SageMaker,https://github.com/wilsonify/amazon-sagemaker-mlflow-fargate.git
4,254892065,ansible-up-and-running,"Code samples from the book ""Ansible: Up and Running""",https://github.com/wilsonify/ansible-up-and-running.git
5,146357904,AppliedRegression,Fall 2018 Applied Regression,https://github.com/wilsonify/AppliedRegression.git
6,237847026,asyncio-examples,"Based on ""Using Asyncio in Python""",https://github.com/wilsonify/asyncio-examples.git
7,538238240,automated-deep-learning-using-neural-network-intelligence,Source Code for 'Automated Deep Learning Using Neural Network Intelligence' by Ivan Gridin,https://github.com/wilsonify/automated-deep-learning-using-neural-network-intelligence.git
8,577070148,base-cpp-data-science,port of joelgrus/data-science-from-scratch to c++,https://github.com/wilsonify/base-cpp-data-science.git
9,220657274,base-python-data-science,based on https://github.com/joelgrus/data-science-from-scratch,https://github.com/wilsonify/base-python-data-science.git
10,239358158,bayesian-analysis-with-python,Bayesian Analysis with Python (Second Edition),https://github.com/wilsonify/bayesian-analysis-with-python.git
11,382670862,bayesloop,Probabilistic programming framework that facilitates objective model selection for time-varying parameter models. ,https://github.com/wilsonify/bayesloop.git
12,403065203,Beginning-Robotics-with-Raspberry-Pi-and-Arduino,source code,https://github.com/wilsonify/Beginning-Robotics-with-Raspberry-Pi-and-Arduino.git
13,423266117,blackhat-python3,"Source code for the book ""Black Hat Python"" by Justin Seitz. The code has been fully converted to Python 3, reformatted to comply with PEP8 standards and refactored to eliminate dependency issues involving the implementation of deprecated libraries.",https://github.com/wilsonify/blackhat-python3.git
14,342872202,Build-Supercomputers-with-Raspberry-Pi-3,Code repository for Build Supercomputers with Raspberry Pi 3 by Packt,https://github.com/wilsonify/Build-Supercomputers-with-Raspberry-Pi-3.git
15,354063416,c-consumer,use conan and cmake to build simple amqp consumer,https://github.com/wilsonify/c-consumer.git
16,333435439,cashcash-desktop,The accounting app for visual people,https://github.com/wilsonify/cashcash-desktop.git
17,338595456,cassandra-definitive-guide,"Sample microservice implementation based on reservation data model from Cassandra: The Definitive Guide, 2nd/3rd Ed",https://github.com/wilsonify/cassandra-definitive-guide.git
18,338595058,cassandra-guide,"Source code for Cassandra: The Definitive Guide, 2nd Ed",https://github.com/wilsonify/cassandra-guide.git
19,378693019,cec-benchmark-2013-python,"for testing metaheuristic algorithm which is specific for continuous search spaces like Particle Swarm optimizations, Differential evolutions, etc, one can be sure about the performances of algorithm bt testing them in this benchmark. benchmark has been defined by IEEE World Congress on Computational Intelligence in C++. then developers implemented them in MATLAB and R. Now I have implemented them in Python as these language getting hit between data scientists a lot. I hope you find it useful.",https://github.com/wilsonify/cec-benchmark-2013-python.git
20,786158325,chaos-engineering,site reliability through controlled disruption,https://github.com/wilsonify/chaos-engineering.git
21,305361745,ChemometricsWithR,"R package accompanying the second edition of ""Chemometrics with R"", Springer",https://github.com/wilsonify/ChemometricsWithR.git
22,378727223,cmake-examples,solutions to common build system issues,https://github.com/wilsonify/cmake-examples.git
23,570708629,container-curmudgeon,Based on the book Cracking Containers with Docker and Kubernetes,https://github.com/wilsonify/container-curmudgeon.git
24,448408408,cuda-samples,Based on standard nvidia samples for CUDA Toolkit ,https://github.com/wilsonify/cuda-samples.git
25,287947548,cython-examples,Code examples from the book.,https://github.com/wilsonify/cython-examples.git
26,319143551,d3-in-action,Examples for D3.js in Action 2nd Edition (D3v4),https://github.com/wilsonify/d3-in-action.git
27,430203050,data-pipelines-with-apache-airflow,Code for Data Pipelines with Apache Airflow,https://github.com/wilsonify/data-pipelines-with-apache-airflow.git
28,440955251,data-structures-and-information-retrieval-in-python,Data Structures and Information Retrieval in Python,https://github.com/wilsonify/data-structures-and-information-retrieval-in-python.git
