NAME                                 	CHART VERSION	APP VERSION                 	DESCRIPTION                                                 
stable/airflow                       	0.15.0       	1.10.0                      	Airflow is a platform to programmatically author, schedul...
stable/chaoskube                     	0.14.0       	0.12.1                      	Chaoskube periodically kills random pods in your Kubernet...
stable/dask                          	2.1.0        	1.1.0                       	Distributed computation in Python with task scheduling      
stable/hadoop                        	1.1.0        	2.9.0                       	The Apache Hadoop software library is a framework that al...
stable/jenkins                       	0.28.11      	lts                         	Open source continuous integration server. It supports mu...
stable/kafka-manager                 	1.1.0        	1.3.3.18                    	A tool for managing Apache Kafka.                           
stable/kibana                        	1.3.0        	6.6.0                       	Kibana is an open source data visualization plugin for El...
stable/magic-ip-address              	0.1.0        	0.9.0                       	A Helm chart to assign static IP addresses for node-local...
stable/magic-namespace               	0.3.0        	2.8.1                       	Elegantly enables a Tiller per namespace in RBAC-enabled ...
stable/zeppelin                      	1.1.0        	0.7.2                       	Web-based notebook that enables data-driven, interactive ...
stable/traefik                       	1.59.2       	1.7.7                       	A Traefik based Kubernetes ingress controller with Let's ...
stable/tensorflow-notebook           	0.1.2        	1.6.0                       	A Helm chart for tensorflow notebook and tensorboard        
stable/tensorflow-serving            	0.1.2        	1.14.0                      	TensorFlow Serving is an open-source software library for...
stable/superset                      	1.1.4        	0.28.1                      	Apache Superset (incubating) is a modern, enterprise-read...
stable/stolon                        	1.1.0        	0.13.0                      	Stolon - PostgreSQL cloud native High Availability.         
stable/spark                         	0.2.1        	1.5.1                       	Fast and general-purpose cluster computing system.          
stable/sonarqube                     	0.13.4       	7.4                         	Sonarqube is an open sourced code quality scanning tool     
stable/rabbitmq-ha                   	1.19.0       	3.7.8                       	Highly available RabbitMQ cluster, the open source messag...
stable/rocketchat                    	0.3.2        	0.73.2                      	Prepare to take off with the ultimate chat platform, expe...
stable/redis-ha                      	3.1.3        	5.0.3                       	Highly available Kubernetes implementation of Redis         
stable/redmine                       	8.0.3        	4.0.1                       	A flexible project management web application.              
stable/mongodb-replicaset            	3.9.0        	3.6                         	NoSQL document-oriented database that stores JSON-like do...

stable/aerospike                     	0.2.1        	v3.14.1.2                   	A Helm chart for Aerospike in Kubernetes                    
stable/anchore-engine                	0.11.0       	0.3.2                       	Anchore container analysis and policy evaluation engine s...
stable/apm-server                    	0.1.0        	6.2.4                       	The server receives data from the Elastic APM agents and ...
stable/ark                           	3.0.0        	0.10.1                      	A Helm chart for ark                                        
